epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,402.22,0.6751,0.51754,0.98978,0.70658,0.74433,0.75062,0.57579,0.89833,0.94739,1.24374,0.005743,0.005743,0.005743
45,411.427,0.66316,0.51245,0.98208,0.69208,0.73228,0.73263,0.55557,0.93095,0.98902,1.27878,0.005644,0.005644,0.005644
46,420.545,0.65219,0.48759,0.97214,0.68822,0.76651,0.7506,0.57241,0.92472,0.94079,1.28175,0.005545,0.005545,0.005545
47,429.715,0.65743,0.50537,0.98207,0.69853,0.76117,0.74741,0.57004,0.92706,0.94075,1.25884,0.005446,0.005446,0.005446
48,438.965,0.65726,0.49861,0.97529,0.70816,0.72697,0.74495,0.56607,0.92083,0.97363,1.28273,0.005347,0.005347,0.005347
49,448.095,0.66892,0.50561,0.98612,0.68909,0.74825,0.74538,0.56605,0.91554,0.96482,1.26481,0.005248,0.005248,0.005248
50,457.296,0.66065,0.49918,0.97864,0.70709,0.73635,0.74912,0.56217,0.91787,0.95594,1.28967,0.005149,0.005149,0.005149
51,466.483,0.63323,0.48362,0.96406,0.68218,0.77095,0.74706,0.57135,0.90603,0.96993,1.26596,0.00505,0.00505,0.00505
52,475.655,0.64427,0.47826,0.96982,0.69854,0.74874,0.73892,0.56359,0.91779,0.96289,1.26416,0.004951,0.004951,0.004951
53,484.741,0.65416,0.48497,0.97702,0.69168,0.76549,0.7429,0.56312,0.93003,0.99516,1.27708,0.004852,0.004852,0.004852
54,493.913,0.6584,0.48674,0.97642,0.69786,0.75306,0.73748,0.56409,0.91543,0.97696,1.26786,0.004753,0.004753,0.004753
55,502.964,0.65251,0.47737,0.96849,0.72714,0.72506,0.74619,0.56166,0.93674,0.9858,1.27504,0.004654,0.004654,0.004654
56,511.936,0.6265,0.46321,0.95907,0.69965,0.74993,0.74572,0.56585,0.91233,0.97037,1.29069,0.004555,0.004555,0.004555
57,520.983,0.63546,0.46205,0.96527,0.69376,0.75411,0.74855,0.56681,0.92406,0.9774,1.2984,0.004456,0.004456,0.004456
58,530.015,0.61802,0.46265,0.96138,0.70509,0.74027,0.7445,0.57031,0.92157,0.99721,1.28892,0.004357,0.004357,0.004357
59,539.218,0.63855,0.46694,0.96276,0.6992,0.74801,0.74709,0.56464,0.94225,1.00185,1.29238,0.004258,0.004258,0.004258
60,548.398,0.61013,0.4513,0.95906,0.69284,0.75439,0.74596,0.56816,0.92811,0.97563,1.27718,0.004159,0.004159,0.004159
61,557.548,0.62064,0.45974,0.96354,0.70015,0.77337,0.75552,0.57789,0.91463,0.94975,1.27095,0.00406,0.00406,0.00406
62,566.833,0.62068,0.46481,0.96514,0.69708,0.77133,0.75668,0.57402,0.92067,0.95538,1.28606,0.003961,0.003961,0.003961
63,575.994,0.62406,0.4736,0.96651,0.71308,0.74916,0.75062,0.57468,0.92417,0.93986,1.26674,0.003862,0.003862,0.003862
64,585.206,0.61357,0.45385,0.95582,0.70131,0.74915,0.74133,0.5632,0.93915,1.00642,1.29685,0.003763,0.003763,0.003763
65,594.4,0.62605,0.4582,0.95823,0.71697,0.73895,0.74094,0.56411,0.93041,0.96672,1.28076,0.003664,0.003664,0.003664
66,603.549,0.61051,0.44734,0.954,0.71449,0.74803,0.74598,0.56474,0.94387,0.97558,1.29429,0.003565,0.003565,0.003565
67,612.715,0.60927,0.44444,0.95124,0.69836,0.75424,0.75165,0.57239,0.92212,0.97182,1.31367,0.003466,0.003466,0.003466
68,621.791,0.61428,0.45355,0.95832,0.68409,0.76309,0.74412,0.56951,0.92526,0.97257,1.29565,0.003367,0.003367,0.003367
69,630.881,0.62221,0.45734,0.96073,0.70943,0.7587,0.74706,0.57016,0.92722,0.96353,1.29737,0.003268,0.003268,0.003268
70,639.998,0.60419,0.43811,0.94869,0.71312,0.75638,0.74939,0.5737,0.92712,0.94918,1.2808,0.003169,0.003169,0.003169
71,649.165,0.61709,0.45082,0.96299,0.69523,0.76289,0.75097,0.57349,0.91707,0.96101,1.31613,0.00307,0.00307,0.00307
72,658.283,0.59319,0.43656,0.94977,0.71014,0.75275,0.74839,0.57355,0.93477,0.95206,1.2938,0.002971,0.002971,0.002971
73,667.435,0.59183,0.4352,0.94637,0.69987,0.76324,0.74705,0.57026,0.93187,0.96963,1.29602,0.002872,0.002872,0.002872
74,676.608,0.60177,0.44018,0.95265,0.72692,0.72811,0.74929,0.57219,0.93419,0.9512,1.2978,0.002773,0.002773,0.002773
75,685.767,0.59486,0.43103,0.94416,0.70311,0.7622,0.75271,0.57879,0.91957,0.93046,1.29367,0.002674,0.002674,0.002674
76,695.011,0.59438,0.43256,0.94252,0.69048,0.76044,0.73402,0.56468,0.9215,0.98828,1.28621,0.002575,0.002575,0.002575
77,704.151,0.58278,0.42252,0.94453,0.70465,0.74585,0.74464,0.56844,0.91599,0.95697,1.29123,0.002476,0.002476,0.002476
78,713.304,0.5866,0.42744,0.94948,0.69756,0.77065,0.7428,0.56657,0.93261,0.97286,1.30031,0.002377,0.002377,0.002377
79,722.453,0.58679,0.42655,0.94483,0.71929,0.76104,0.7562,0.58039,0.9161,0.93742,1.30924,0.002278,0.002278,0.002278
80,731.656,0.58689,0.42518,0.94474,0.71679,0.74383,0.74998,0.57358,0.93635,0.95927,1.30296,0.002179,0.002179,0.002179
81,740.726,0.58333,0.42161,0.94294,0.68868,0.77064,0.7502,0.57644,0.92072,0.9534,1.28822,0.00208,0.00208,0.00208
82,749.755,0.58832,0.41906,0.93966,0.6923,0.76643,0.75149,0.57662,0.92281,0.94239,1.29809,0.001981,0.001981,0.001981
83,758.851,0.57969,0.41835,0.94371,0.69396,0.75694,0.74073,0.56675,0.93563,0.97315,1.29325,0.001882,0.001882,0.001882
84,767.903,0.57326,0.41512,0.94144,0.70275,0.75774,0.75003,0.57347,0.93734,0.97993,1.31138,0.001783,0.001783,0.001783
85,777.084,0.5726,0.41204,0.9361,0.69239,0.76778,0.74455,0.57157,0.92787,0.96353,1.30681,0.001684,0.001684,0.001684
86,786.244,0.57679,0.41717,0.94581,0.70369,0.76382,0.75501,0.58013,0.91533,0.95382,1.30444,0.001585,0.001585,0.001585
87,795.399,0.56616,0.40529,0.93399,0.7255,0.75534,0.74772,0.57699,0.9181,0.94781,1.29421,0.001486,0.001486,0.001486
88,804.473,0.5745,0.40469,0.9346,0.7131,0.75641,0.75022,0.57717,0.91406,0.95677,1.29451,0.001387,0.001387,0.001387
89,813.586,0.56362,0.40288,0.93497,0.70792,0.74871,0.75489,0.57968,0.91913,0.94289,1.30014,0.001288,0.001288,0.001288
90,822.669,0.55585,0.39862,0.92809,0.69296,0.77093,0.75037,0.57881,0.91713,0.95718,1.30284,0.001189,0.001189,0.001189
91,842.785,0.5534,0.37704,0.92947,0.71399,0.73158,0.74323,0.57199,0.91563,0.95955,1.29032,0.00109,0.00109,0.00109
92,851.953,0.53627,0.35843,0.919,0.69138,0.75884,0.74822,0.57273,0.91357,0.97848,1.3013,0.000991,0.000991,0.000991
93,861.018,0.52572,0.341,0.91205,0.69764,0.75162,0.75248,0.57818,0.91383,0.95886,1.3019,0.000892,0.000892,0.000892
94,870.037,0.52488,0.34234,0.92241,0.71227,0.74333,0.75027,0.57399,0.92482,0.97159,1.3021,0.000793,0.000793,0.000793
95,878.954,0.50759,0.33507,0.90894,0.72332,0.73531,0.75065,0.57739,0.91913,0.95846,1.30132,0.000694,0.000694,0.000694
96,887.956,0.50264,0.32822,0.90713,0.72572,0.73264,0.74737,0.57623,0.91991,0.95911,1.29603,0.000595,0.000595,0.000595
97,896.971,0.50301,0.3318,0.91037,0.71554,0.74162,0.74894,0.57773,0.92076,0.96062,1.30905,0.000496,0.000496,0.000496
98,906.059,0.5179,0.33794,0.91834,0.7107,0.74151,0.74716,0.57638,0.9178,0.96983,1.30037,0.000397,0.000397,0.000397
99,915.155,0.50325,0.32293,0.90306,0.73075,0.72693,0.75079,0.57733,0.91927,0.96527,1.31319,0.000298,0.000298,0.000298
100,924.291,0.50249,0.32534,0.90472,0.73185,0.7258,0.74905,0.57493,0.91942,0.96935,1.31255,0.000199,0.000199,0.000199
